Sequence,Credits,Type,Flag,Taken
CS 314,3.0,Computer Systems & Architecture,0,False
CS 352,3.0,Computer Systems & Architecture,0,False
CS 361,3.0,Computer Systems & Architecture,0,False
CS 370,3.0,Computer Systems & Architecture,7,False
CS 429,3.0,Computer Systems & Architecture,0,False
CS 441,3.0,Computer Systems & Architecture,0,False
CS 461,3.0,Computer Systems & Architecture,7,False
CS 472,3.0,Computer Systems & Architecture,7,False
CS 475,3.0,Computer Systems & Architecture,0,False
CS 476,3.0,Computer Systems & Architecture,0,False
CS 479,3.0,Computer Systems & Architecture,0,False
ECE 302,3.0,Computer Systems & Architecture,0,False
ECEC 412,3.0,Computer Systems & Architecture,0,False
ECEC 413,3.0,Computer Systems & Architecture,0,False
ECEC 414,3.0,Computer Systems & Architecture,0,False
INFO 323,3.0,Computer Systems & Architecture,0,False
